,teamName,teamId,year,offense,defense
153,Georgia State,76,2022,8.908351615261465,6.317748275020526
154,Georgia Tech,77,2021,10.060769385437546,6.623468447086356
155,Georgia Tech,77,2022,8.971500167365406,6.46303892760829
156,Grambling,78,2021,5.814867762575377,6.382898135089592
157,Grambling,78,2022,6.81601807800848,5.655755211629674
158,Hampton,79,2021,8.527107115080007,4.409529458696218
159,Hampton,79,2022,9.112674434503779,3.3666262914802436
160,Harvard,80,2021,8.354680854461654,8.344188887939719
161,Harvard,80,2022,7.694884091447714,5.613700341866554
162,Hawaii,81,2021,10.512967456487665,5.66922419421827
163,Hawaii,81,2022,7.949605727269339,5.355892687201343
164,Holy Cross,82,2021,8.737368155544443,7.229123003945807
165,Holy Cross,82,2022,8.729513085937777,6.492206283729385
166,Houston,83,2021,10.623826770643813,8.075865151263274
167,Houston,83,2022,12.33039898383865,5.089904547352668
168,Howard,85,2021,6.861219694115527,5.3456702375577025
169,Howard,85,2022,8.027559636265277,4.737369224315198
170,Idaho,86,2021,8.027060685412291,6.014461983012377
171,Idaho,86,2022,9.287599815116236,7.051287339355564
172,Idaho State,87,2021,6.942587139937458,6.7218672646473
173,Idaho State,87,2022,6.876443599540249,5.485541179127463
174,Illinois,88,2021,10.009819098494976,8.296230441798956
175,Illinois,88,2022,10.645215332815326,8.64557875863938
176,Illinois State,89,2021,7.553956454181094,7.8953847996814845
177,Illinois State,89,2022,5.90322759761571,6.103343861738375
178,Incarnate Word,90,2021,11.361608780292924,3.8057073972041393
179,Incarnate Word,90,2022,9.806970371584407,7.099150873148178
180,Indiana,91,2021,8.484907577863595,8.658330776538142
181,Indiana,91,2022,10.912645151466577,7.328444881147556
182,Indiana State,92,2021,6.889554357387118,7.737119933933559
183,Indiana State,92,2022,6.063498582761546,5.982735724904534
184,Iowa,93,2021,10.037868612067772,9.35879228891902
185,Iowa,93,2022,8.909354533245562,6.797501257097465
186,Iowa State,94,2021,11.457847569869287,8.464806941938077
187,Iowa State,94,2022,7.907900589665527,9.30973278735272
188,Jackson State,95,2021,6.560759642998557,8.738429963942442
189,Jackson State,95,2022,8.86229632443889,7.173882990985571
190,Jacksonville State,97,2021,8.098308159214465,6.5580411309354645
191,Jacksonville State,97,2022,8.868378955450432,7.183417905752069
192,James Madison,98,2021,10.101771571308225,8.398722206694542
193,James Madison,98,2022,11.36009511734414,8.905349769048973
194,Kansas,99,2021,9.30129659275587,6.010174538667167
195,Kansas,99,2022,11.620238435523845,8.072212061700187
196,Kansas State,100,2021,10.360502188454292,9.00176704445977
197,Kansas State,100,2022,10.299197382635493,10.327604840609498
198,Kennesaw State,101,2021,8.382373883191597,8.010563298780605
199,Kennesaw State,101,2022,7.59742198948183,6.028939372695203
200,Kent State,102,2021,10.838321584278473,4.709607054407331
201,Kent State,102,2022,9.328088201856353,6.78173374318695
202,Kentucky,103,2021,11.39383985169156,7.52361915711777
203,Kentucky,103,2022,11.138650646880295,8.772010252977676
204,Lafayette,104,2021,7.0115606129772665,5.991480493070324
205,Lafayette,104,2022,6.5506283314200875,7.341013830365737
